Timestamp,Ang_Vel,Angle,Target_RMS,Comp_RMS
1775551512.060,0.00,180.00,78.96,13.86
1775551512.110,0.00,180.00,80.29,17.08
1775551512.161,0.00,180.00,83.34,17.07
1775551512.212,0.00,180.00,84.23,14.96
1775551512.262,0.00,180.00,83.44,23.27
1775551512.313,0.00,180.00,88.57,23.81
1775551512.363,0.00,180.00,90.81,17.78
1775551512.414,0.00,180.00,86.81,25.93
1775551512.465,0.00,180.00,84.84,21.58
1775551512.516,0.00,180.00,85.30,21.17
1775551512.566,0.00,180.00,90.20,23.75
1775551512.617,0.00,180.00,83.66,24.30
1775551512.667,0.00,180.00,87.26,23.01
1775551512.718,0.00,180.00,88.34,22.38
1775551512.769,0.00,180.00,86.91,18.81
1775551512.819,0.00,180.00,84.29,22.75
1775551512.870,0.00,180.00,84.44,17.77
1775551512.921,0.00,180.00,83.01,23.62
1775551512.971,0.00,180.00,87.83,16.96
1775551513.022,0.00,180.00,84.81,23.79
1775551513.073,0.00,180.00,83.96,16.61
1775551513.123,0.00,180.00,86.29,19.28
1775551513.174,0.00,180.00,79.63,16.66
1775551513.225,0.00,180.00,78.32,21.26
1775551513.276,0.00,180.00,76.81,17.25
1775551513.326,0.00,180.00,77.39,17.83
1775551513.377,0.00,180.00,80.55,11.64
1775551513.428,0.00,180.00,73.38,19.32
1775551513.478,0.00,180.00,74.01,13.17
1775551513.529,0.00,180.00,7.40,5.93
1775551513.580,0.00,180.00,9.14,13.19
1775551513.631,0.00,180.00,9.88,7.32
1775551513.681,0.00,180.00,5.06,6.97
1775551513.732,0.00,180.00,7.10,6.56
1775551513.783,0.00,180.00,5.73,5.68
1775551513.833,0.00,180.00,7.56,6.58
1775551513.884,0.00,180.00,10.68,7.62
1775551513.935,0.00,180.00,14.51,13.70
1775551513.985,0.00,180.00,8.01,11.78
1775551514.036,0.00,180.00,8.14,6.41
1775551514.087,0.00,180.00,8.37,6.41
1775551514.138,0.00,180.00,9.29,13.71
1775551514.188,0.00,180.00,10.54,9.86
1775551514.239,0.00,180.00,11.31,14.02
1775551514.290,0.00,180.00,6.54,5.87
1775551514.341,0.00,180.00,13.52,8.75
1775551514.391,0.00,180.00,12.99,9.62
1775551514.442,0.00,180.00,13.65,12.55
1775551514.493,0.00,180.00,9.38,14.34
1775551514.544,0.00,180.00,6.11,14.65
1775551514.595,0.00,180.00,10.11,6.97
1775551514.645,0.00,180.00,14.55,7.87
1775551514.696,0.00,180.00,12.78,12.51
1775551514.747,0.00,180.00,71.88,11.26
1775551514.798,0.00,180.00,78.70,11.25
1775551514.849,0.00,180.00,72.77,16.25
1775551514.900,0.00,180.00,81.94,21.18
1775551514.951,0.00,180.00,74.45,16.31
1775551515.001,0.00,180.00,80.99,13.61
1775551515.052,0.00,180.00,77.08,18.66
1775551515.103,0.00,180.00,79.22,19.70
1775551515.154,0.00,180.00,79.64,15.95
1775551515.205,0.00,180.00,81.50,18.64
1775551515.256,0.00,180.00,81.50,18.64
