time,raw_emg
0.485,0.8119
0.486,0.6634
0.487,0.5892
0.488,0.5152
0.489,0.4568
0.49,0.2712
0.491,0.1006
0.492,0.0455
0.493,0.0532
0.494,-0.1065
0.495,-0.1422
0.496,0.0051
0.497,0.0355
0.498,0.0959
0.499,0.2114
0.5,0.3705
0.501,0.4089
0.502,0.5032
0.503,0.6536
0.504,0.744
0.505,0.6997
0.506,0.7823
0.507,0.6435
0.508,0.564
0.509,0.4464
0.51,0.2989
0.511,0.1659
0.512,0.0542
0.513,-0.1056
0.514,0.033
0.515,-0.0317
0.516,-0.0743
0.517,-0.0194
0.518,-0.0321
0.519,0.243
0.52,0.2515
0.521,0.43
0.522,0.5663
0.523,0.664
0.524,0.6892
0.525,0.8217
0.526,0.7243
0.527,0.6257
0.528,0.5873
0.529,0.4896
0.53,0.2647
0.531,0.2722
0.532,0.1025
0.533,-0.0374
0.534,0.0313
0.535,-0.0684
0.536,-0.0479
0.537,0.0158
0.538,0.1491
0.539,0.2962
0.54,0.3528
0.541,0.4186
0.542,0.5961
0.543,0.5709
0.544,0.7158
0.545,0.6926
0.546,0.6968
0.547,0.6893
0.548,0.6128
0.549,0.4282
0.55,0.2311
0.551,0.2463
0.552,0.0959
0.553,0.0779
0.554,-0.0173
0.555,-0.1097
0.556,-0.0589
0.557,-0.0025
0.558,0.1717
0.559,0.2227
0.56,0.2971
0.561,0.5324
0.562,0.4946
0.563,0.7253
0.564,0.6938
0.565,0.7203
0.566,0.7014
0.567,0.6337
0.568,0.6343
0.569,0.4758
0.57,0.3978
0.571,0.238
0.572,0.0479
0.573,-0.0406
0.574,-0.0162
0.575,-0.0373
0.576,-0.0567
0.577,0.0583
0.578,-0.0301
0.579,0.2456
0.58,0.2679
0.581,0.4644
0.582,0.5834
0.583,0.6387
0.584,0.6388
0.585,0.7091
0.586,0.753
0.587,0.639
0.588,0.5886
0.589,0.3499
0.59,0.2932
0.591,0.2062
0.592,0.0827
0.593,0.0049
0.594,-0.1058
0.595,-0.0331
0.596,-0.0125
0.597,-0.0051
0.598,0.1102
0.599,0.1509
0.6,0.3328
0.601,0.5199
0.602,0.6783
0.603,0.6772
0.604,0.7156
0.605,0.741
0.606,0.6222
0.607,0.6684
0.608,0.5527
0.609,0.4568
0.61,0.3845
0.611,0.2457
0.612,0.1502
0.613,-0.0999
0.614,-0.0361
0.615,-0.1137
0.616,-0.077
0.617,0.0631
0.618,0.1198
0.619,0.2368
0.62,0.2952
0.621,0.4489
0.622,0.5179
0.623,0.7264
0.624,0.7499
0.625,0.7001
0.626,0.7317
0.627,0.6561
0.628,0.5378
0.629,0.4887
0.63,0.4354
0.631,0.1421
0.632,0.0986
0.633,0.017
0.634,-0.1526
0.635,-0.1511
0.636,-0.0049
0.637,-0.0075
0.638,0.1477
0.639,0.2569
0.64,0.2324
0.641,0.4559
0.642,0.5792
0.643,0.6798
0.644,0.7345
0.645,0.7227
0.646,0.6489
0.647,0.6686
0.648,0.483
0.649,0.3849
0.65,0.2885
0.651,0.1857
0.652,0.1353
0.653,-0.1273
0.654,-0.1316
0.655,-0.0797
0.656,-0.0194
0.657,-0.0481
0.658,-0.0177
0.659,0.1345
0.66,0.2745
0.661,0.4839
0.662,0.4797
0.663,0.5483
0.664,0.7107
0.665,0.681
0.666,0.6875
0.667,0.6065
0.668,0.5365
0.669,0.5209
0.67,0.2411
0.671,0.1235
0.672,0.1094
0.673,0.0369
0.674,-0.1249
0.675,-0.1178
0.676,-0.0493
0.677,-0.0962
0.678,0.1256
0.679,0.2109
0.68,0.2804
0.681,0.5211
0.682,0.5496
0.683,0.5999
0.684,0.7909
0.685,0.6353
0.686,0.6998
0.687,0.6187
0.688,0.5325
0.689,0.4287
0.69,0.3056
0.691,0.2029
0.692,0.0222
0.693,-0.0712
0.694,-0.1417
0.695,-0.039
0.696,-0.0823
0.697,-0.061
0.698,0.0759
0.699,0.1443
0.7,0.2457
0.701,0.4276
0.702,0.4824
0.703,0.5983
0.704,0.6767
0.705,0.7207
0.706,0.6725
0.707,0.6714
0.708,0.3362
0.709,0.4405
0.71,0.28
0.711,0.2015
0.712,-0.021
0.713,-0.0656
0.714,-0.1139
0.715,-0.2045
0.716,0.0322
0.717,-0.0711
0.718,0.0114
0.719,0.1364
0.72,0.2777
0.721,0.414
0.722,0.4729
0.723,0.6474
0.724,0.6059
0.725,0.6946
0.726,0.6896
0.727,0.5371
0.728,0.5652
0.729,0.4277
0.73,0.1357
0.731,0.1056
0.732,-0.0034
0.733,-0.1109
0.734,-0.1791
0.735,-0.0417
0.736,-0.1255
0.737,-0.0788
0.738,-0.0218
0.739,0.1889
0.74,0.2535
0.741,0.4139
0.742,0.4831
0.743,0.5794
0.744,0.6202
0.745,0.7812
0.746,0.5988
0.747,0.5594
0.748,0.4631
0.749,0.278
0.75,0.3047
0.751,0.1925
0.752,-0.0192
0.753,-0.0765
0.754,-0.1487
0.755,-0.1214
0.756,-0.131
0.757,-0.0601
0.758,-0.0196
0.759,0.1335
0.76,0.2003
0.761,0.4632
0.762,0.4576
0.763,0.5444
0.764,0.5327
0.765,0.575
0.766,0.7141
0.767,0.576
0.768,0.4667
0.769,0.4381
0.77,0.2758
0.771,0.0598
0.772,0.022
0.773,-0.1297
0.774,-0.1278
0.775,-0.2087
0.776,-0.1243
0.777,-0.0763
0.778,-0.0089
0.779,0.1605
0.78,0.1711
0.781,0.2836
0.782,0.4372
0.783,0.6637
0.784,0.6116
0.785,0.6387
0.786,0.6115
0.787,0.515
0.788,0.4759
0.789,0.2707
0.79,0.3242
0.791,0.1746
0.792,-0.0232
0.793,-0.1347
0.794,-0.131
0.795,-0.1533
0.796,-0.1622
0.797,-0.0748
0.798,-0.0403
0.799,0.1334
0.8,0.2292
0.801,0.3552
0.802,0.4394
0.803,0.5663
0.804,0.6517
0.805,0.6615
0.806,0.6204
0.807,0.5151
0.808,0.4907
0.809,0.3743
0.81,0.196
0.811,0.0194
0.812,-0.04
0.813,-0.1181
0.814,-0.1639
0.815,-0.2042
0.816,-0.2159
0.817,-0.0435
0.818,0.0025
0.819,0.0416
0.82,0.3363
0.821,0.3098
0.822,0.3907
0.823,0.5378
0.824,0.5875
0.825,0.6612
0.826,0.4493
0.827,0.4579
0.828,0.4165
0.829,0.3572
0.83,0.2169
0.831,0.0603
0.832,-0.0161
0.833,-0.0934
0.834,-0.1891
0.835,-0.3161
0.836,-0.1567
0.837,-0.0926
0.838,-0.1545
0.839,0.1549
0.84,0.301
0.841,0.3566
0.842,0.5041
0.843,0.5411
0.844,0.5867
0.845,0.6151
0.846,0.5175
0.847,0.4075
0.848,0.4682
0.849,0.2656
0.85,0.1444
0.851,0.0923
0.852,-0.1055
0.853,-0.1536
0.854,-0.2594
0.855,-0.2611
0.856,-0.2287
0.857,-0.0895
0.858,-0.0257
0.859,0.1835
0.86,0.246
0.861,0.3214
0.862,0.4532
0.863,0.4942
0.864,0.5128
0.865,0.5321
0.866,0.5271
0.867,0.6105
0.868,0.4507
0.869,0.2418
0.87,0.1576
0.871,-0.0055
0.872,-0.0493
0.873,-0.2235
0.874,-0.0958
0.875,-0.1974
0.876,-0.241
0.877,-0.0903
0.878,-0.0595
0.879,0.0542
0.88,0.1677
0.881,0.2987
0.882,0.3554
0.883,0.5597
0.884,0.5549
0.885,0.5707
0.886,0.527
0.887,0.5189
0.888,0.3799
0.889,0.2788
0.89,0.1106
0.891,0.0345
0.892,-0.1497
0.893,-0.1571
0.894,-0.2125
0.895,-0.2878
0.896,-0.2702
0.897,-0.1107
0.898,-0.1241
0.899,-0.021
0.9,0.265
0.901,0.2443
0.902,0.4372
0.903,0.4265
0.904,0.5248
0.905,0.4058
0.906,0.4999
0.907,0.3951
0.908,0.3179
0.909,0.1935
0.91,0.0979
0.911,-0.0598
0.912,-0.088
0.913,-0.2189
0.914,-0.2207
0.915,-0.2127
0.916,-0.2268
0.917,-0.193
0.918,-0.1112
0.919,-0.0547
0.92,0.0296
0.921,0.1998
0.922,0.4053
0.923,0.3587
0.924,0.6023
0.925,0.5037
0.926,0.5
0.927,0.3816
0.928,0.3883
0.929,0.2313
0.93,0.1508
0.931,-0.0971
0.932,-0.1024
0.933,-0.206
0.934,-0.3353
0.935,-0.3437
0.936,-0.1852
0.937,-0.221
0.938,-0.2139
0.939,-0.0498
0.94,0.1563
0.941,0.2578
0.942,0.343
0.943,0.4095
0.944,0.4771
0.945,0.4502
0.946,0.5478
0.947,0.4005
0.948,0.355
0.949,0.2489
0.95,0.1024
0.951,-0.0366
0.952,-0.1759
0.953,-0.1611
0.954,-0.3067
0.955,-0.3143
0.956,-0.1937
0.957,-0.2555
0.958,-0.1137
0.959,0.0583
0.96,0.149
0.961,0.1208
0.962,0.311
0.963,0.4034
0.964,0.5435
0.965,0.4545
0.966,0.4805
0.967,0.4322
0.968,0.3446
0.969,0.1573
0.97,0.0937
0.971,0.03
0.972,-0.2079
0.973,-0.1677
0.974,-0.315
0.975,-0.3097
0.976,-0.3554
0.977,-0.2496
0.978,-0.0625
0.979,-0.0135
0.98,0.1245
0.981,0.2706
0.982,0.3621
0.983,0.3956
0.984,0.504
0.985,0.4741
0.986,0.4366
0.987,0.4021
0.988,0.2606
0.989,0.18
0.99,-0.0456
0.991,-0.0309
0.992,-0.2174
0.993,-0.2007
0.994,-0.2859
0.995,-0.2722
0.996,-0.327
0.997,-0.3529
0.998,-0.1604
0.999,0.0483
1.0,0.0798
1.001,0.2898
1.002,0.2643
1.003,0.3431
1.004,0.377
1.005,0.4989
1.006,0.3696
1.007,0.3904
1.008,0.3234
1.009,0.1943
1.01,0.0562
1.011,-0.1032
1.012,-0.2432
1.013,-0.2758
1.014,-0.3154
1.015,-0.2874
1.016,-0.4033
1.017,-0.2529
1.018,-0.2491
1.019,-0.1374
1.02,0.0847
1.021,0.185
1.022,0.2497
1.023,0.3558
1.024,0.3775
1.025,0.4598
1.026,0.3507
1.027,0.404
1.028,0.2272
1.029,0.1042
1.03,0.0317
1.031,-0.1937
1.032,-0.3201
1.033,-0.3794
1.034,-0.3172
1.035,-0.376
1.036,-0.3508
1.037,-0.4476
1.038,-0.1098
1.039,-0.1299
1.04,0.0107
1.041,0.1949
1.042,0.2454
1.043,0.38
1.044,0.3952
1.045,0.4968
1.046,0.3484
1.047,0.3098
1.048,0.243
1.049,0.092
1.05,0.1374
1.051,-0.0372
1.052,-0.2777
1.053,-0.3394
1.054,-0.3772
1.055,-0.3749
1.056,-0.4075
1.057,-0.2232
1.058,-0.2234
1.059,-0.0149
1.06,0.1004
1.061,0.1275
1.062,0.2364
1.063,0.3469
1.064,0.4089
1.065,0.3486
1.066,0.3104
1.067,0.2516
1.068,0.2884
1.069,0.0336
1.07,-0.0122
1.071,-0.083
1.072,-0.2358
1.073,-0.3225
1.074,-0.3554
1.075,-0.2998
1.076,-0.399
1.077,-0.2702
1.078,-0.1881
1.079,-0.1416
1.08,-0.0127
1.081,0.1856
1.082,0.2327
1.083,0.2915
1.084,0.2996
1.085,0.3646
1.086,0.3257
1.087,0.2826
1.088,0.19
1.089,0.0105
1.09,-0.0675
1.091,-0.2617
1.092,-0.3358
1.093,-0.3715
1.094,-0.4151
1.095,-0.4042
1.096,-0.3728
1.097,-0.4365
1.098,-0.2789
1.099,-0.2027
1.1,0.0646
1.101,0.1383
1.102,0.1766
1.103,0.2143
1.104,0.297
1.105,0.2942
1.106,0.3338
1.107,0.1916
1.108,0.1536
1.109,0.109
1.11,-0.104
1.111,-0.0873
1.112,-0.2715
1.113,-0.3096
1.114,-0.4946
1.115,-0.5086
1.116,-0.4353
1.117,-0.3178
1.118,-0.2763
1.119,-0.1815
1.12,-0.039
1.121,0.1134
1.122,0.1933
1.123,0.268
1.124,0.3948
1.125,0.3452
1.126,0.3304
1.127,0.2648
1.128,0.1564
1.129,0.047
1.13,-0.1129
1.131,-0.1914
1.132,-0.2928
1.133,-0.2975
1.134,-0.4398
1.135,-0.4335
1.136,-0.4019
1.137,-0.3846
1.138,-0.266
1.139,-0.1862
1.14,0.0276
1.141,0.0684
1.142,0.238
1.143,0.3749
1.144,0.3794
1.145,0.3554
1.146,0.2668
1.147,0.229
1.148,0.0875
1.149,0.0407
1.15,-0.1042
1.151,-0.2098
1.152,-0.3906
1.153,-0.4383
1.154,-0.4689
1.155,-0.5194
1.156,-0.431
1.157,-0.4031
1.158,-0.3241
1.159,-0.1728
1.16,-0.0113
1.161,0.1714
1.162,0.1415
1.163,0.1829
1.164,0.234
1.165,0.2981
1.166,0.2657
1.167,0.2009
1.168,0.0982
1.169,0.1246
1.17,-0.127
1.171,-0.1953
1.172,-0.3441
1.173,-0.4034
1.174,-0.4536
1.175,-0.4843
1.176,-0.4298
1.177,-0.3941
1.178,-0.2789
1.179,-0.1643
1.18,-0.054
1.181,0.1782
1.182,0.2117
1.183,0.2298
1.184,0.2609
1.185,0.3764
1.186,0.4003
1.187,0.209
1.188,0.1426
1.189,-0.0343
1.19,-0.124
1.191,-0.1671
1.192,-0.3166
1.193,-0.4824
1.194,-0.4596
1.195,-0.5654
1.196,-0.5197
1.197,-0.4952
1.198,-0.3184
1.199,-0.2106
1.2,-0.0194
1.201,0.0777
1.202,0.0835
1.203,0.2384
1.204,0.2495
1.205,0.3036
1.206,0.2831
1.207,0.2603
1.208,0.0813
1.209,-0.0105
1.21,-0.1768
1.211,-0.2357
1.212,-0.3168
1.213,-0.5516
1.214,-0.594
1.215,-0.5091
1.216,-0.43
1.217,-0.438
1.218,-0.3512
1.219,-0.183
1.22,-0.1017
1.221,0.0048
1.222,0.0851
1.223,0.2351
1.224,0.1812
1.225,0.2901
1.226,0.2121
1.227,0.2975
1.228,0.0763
1.229,0.0129
1.23,-0.1653
1.231,-0.2769
1.232,-0.3482
1.233,-0.4567
1.234,-0.5717
1.235,-0.5195
1.236,-0.4934
1.237,-0.4099
1.238,-0.3359
1.239,-0.2382
1.24,-0.0837
1.241,0.0754
1.242,0.0527
1.243,0.1914
1.244,0.252
1.245,0.296
1.246,0.1532
1.247,0.1045
1.248,0.0871
1.249,0.0482
1.25,-0.1815
1.251,-0.3133
1.252,-0.4803
1.253,-0.4796
1.254,-0.5613
1.255,-0.496
1.256,-0.5041
1.257,-0.3989
1.258,-0.371
1.259,-0.3069
1.26,-0.1387
1.261,-0.0884
1.262,0.1125
1.263,0.1222
1.264,0.2287
1.265,0.1643
1.266,0.3187
1.267,0.1341
1.268,0.041
1.269,-0.1042
1.27,-0.1039
1.271,-0.2635
1.272,-0.3643
1.273,-0.4455
1.274,-0.5275
1.275,-0.4928
1.276,-0.4868
1.277,-0.3851
1.278,-0.4201
1.279,-0.195
1.28,-0.2328
1.281,0.0259
1.282,0.0295
1.283,0.1015
1.284,0.186
1.285,0.1942
1.286,0.1329
1.287,0.1553
1.288,0.0307
1.289,-0.1268
1.29,-0.1421
1.291,-0.2486
1.292,-0.5008
1.293,-0.5133
1.294,-0.5676
1.295,-0.5942
1.296,-0.5977
1.297,-0.4375
1.298,-0.3072
1.299,-0.2362
1.3,-0.229
1.301,-0.1793
1.302,0.1197
1.303,0.1925
1.304,0.1809
1.305,0.2774
1.306,0.2755
1.307,0.0961
1.308,-0.0493
1.309,-0.1819
1.31,-0.1365
1.311,-0.2997
1.312,-0.4218
1.313,-0.5954
1.314,-0.5227
1.315,-0.6112
1.316,-0.6078
1.317,-0.4182
1.318,-0.4466
1.319,-0.3276
1.32,-0.1959
1.321,-0.0986
1.322,0.0514
1.323,0.0826
1.324,0.1827
1.325,0.1756
1.326,0.1475
1.327,0.1106
1.328,0.0003
1.329,-0.0474
1.33,-0.2124
1.331,-0.4227
1.332,-0.5021
1.333,-0.5173
1.334,-0.5137
1.335,-0.5172
1.336,-0.575
1.337,-0.5562
1.338,-0.3651
1.339,-0.2873
1.34,-0.2454
1.341,-0.0181
1.342,0.0319
1.343,0.2358
1.344,0.1175
1.345,0.0865
1.346,0.0653
1.347,0.0963
1.348,0.1031
1.349,-0.1037
1.35,-0.17
1.351,-0.3547
1.352,-0.4777
1.353,-0.5228
1.354,-0.6095
1.355,-0.5651
1.356,-0.5539
1.357,-0.5354
1.358,-0.4431
1.359,-0.3465
1.36,-0.1853
1.361,-0.0504
1.362,0.0329
1.363,0.1146
1.364,0.1354
1.365,0.2296
1.366,0.0899
1.367,0.2081
1.368,-0.0264
1.369,-0.1538
1.37,-0.174
1.371,-0.3231
1.372,-0.4625
1.373,-0.5283
1.374,-0.5953
1.375,-0.5306
1.376,-0.5651
1.377,-0.4832
1.378,-0.47
1.379,-0.3663
1.38,-0.192
1.381,-0.0501
1.382,0.0397
1.383,0.1282
1.384,0.189
1.385,0.2101
1.386,0.2086
1.387,0.1292
1.388,0.0462
1.389,-0.0907
1.39,-0.2779
1.391,-0.3208
1.392,-0.5018
1.393,-0.6143
1.394,-0.5823
1.395,-0.5675
1.396,-0.5995
1.397,-0.4564
1.398,-0.4456
1.399,-0.3853
1.4,-0.1728
1.401,-0.0833
1.402,0.0135
1.403,0.1365
1.404,0.1957
1.405,0.2556
1.406,0.2396
1.407,0.1433
1.408,-0.0071
1.409,-0.1602
1.41,-0.2139
1.411,-0.334
1.412,-0.4957
1.413,-0.5857
1.414,-0.5155
1.415,-0.5688
1.416,-0.6306
1.417,-0.5779
1.418,-0.385
1.419,-0.3182
1.42,-0.201
1.421,-0.0062
1.422,0.0255
1.423,0.1085
1.424,0.1671
1.425,0.1742
1.426,0.1048
1.427,0.1372
1.428,0.0202
1.429,-0.1193
1.43,-0.3116
1.431,-0.3535
1.432,-0.4524
1.433,-0.5667
1.434,-0.6105
1.435,-0.6084
1.436,-0.5434
1.437,-0.5935
1.438,-0.4321
1.439,-0.366
1.44,-0.2011
1.441,-0.0563
1.442,-0.0255
1.443,0.1066
1.444,0.2184
1.445,0.1748
1.446,0.1644
1.447,0.0502
1.448,-0.0409
1.449,-0.0003
1.45,-0.1811
1.451,-0.4133
1.452,-0.4214
1.453,-0.5949
1.454,-0.6286
1.455,-0.6683
1.456,-0.6031
1.457,-0.5685
1.458,-0.4036
1.459,-0.3895
1.46,-0.2231
1.461,-0.0235
1.462,-0.0688
1.463,0.1099
1.464,0.1913
1.465,0.1527
1.466,0.1167
1.467,0.1085
1.468,0.0496
1.469,-0.2507
1.47,-0.3254
1.471,-0.4097
1.472,-0.4505
1.473,-0.4727
1.474,-0.5874
1.475,-0.6442
1.476,-0.6343
1.477,-0.5347
1.478,-0.479
1.479,-0.3017
1.48,-0.2366
1.481,-0.1358
1.482,0.0002
1.483,0.188
1.484,0.1547
1.485,0.1026
1.486,0.1593
1.487,0.056
1.488,0.045
1.489,-0.0832
1.49,-0.2014
1.491,-0.3159
1.492,-0.4643
1.493,-0.5421
1.494,-0.5755
1.495,-0.4645
1.496,-0.5614
1.497,-0.6302
1.498,-0.4903
1.499,-0.3499
1.5,-0.1245
1.501,-0.1242
1.502,0.1164
